tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,training_err,val_err,testing_err,testing_err_aa,training_nrmse,val_nrmse,testing_nrmse,testing_nrmse_aa,inference_speed,inference_speed_aa,model_size,training_time
12,0.1,10,1000,20,20,0,0,8.0084166919,7.9752873168,9.3631134093,0.0374107716,0.0846924725,0.0824978923,0.1059757734,0.003381747,0.0033508744,9942007562,8786.4341709614
12,0.01,15,500,300,40,0,0.1072930233,4.3894507477,4.4682994271,6.6507724643,0.0060137016,0.0441146326,0.0465745276,0.0745450594,0.0045008897,0.0044944454,17783310033,26850.0355536938
12,0.01,25,500,20,40,0.25,0.0673837137,4.0740526408,4.8776221897,6.273570648,0.0059123638,0.0425095289,0.0528745852,0.0724031491,0.0079803813,0.0082735286,28010997015,26497.743765831
8,0.25,20,750,300,1,0.1,0,7.8544874089,8.7436188278,10.7118580171,0.0369759935,0.0844142623,0.0968676965,0.12206129,0.0036312513,0.0039122205,1192785384,1752.9424338341
4,0.1,10,1000,20,40,0.25,1.8642589196,3.3404620719,3.7061737996,5.6845155464,0.0218964373,0.035130877,0.0410609467,0.0641307472,0.0009191695,0.0008726256,53039557,986.2500975132
12,0.1,20,100,300,1,0.1,0,8.5048497035,9.1667361388,10.3844036997,0.0355770591,0.0868520818,0.0970981257,0.1149986332,0.0064847982,0.0067626786,19476848333,25187.0643119812
12,0.1,15,100,20,1,0.1,0,9.2906624375,10.417917174,10.878952669,0.0407613577,0.0970075345,0.1106925464,0.1213475387,0.005101013,0.0052254794,14656722480,11757.3030259609
12,0.01,10,750,100,1,0.25,0,7.9290274787,8.7704441504,9.9876466667,0.0334231657,0.0821865048,0.0949201117,0.11162248,0.0033942669,0.003376395,10251827868,9228.7825434208
8,0.25,15,100,20,40,0.1,0.0272203226,5.0060745445,5.9296730163,7.4308093413,0.0208521964,0.0491593767,0.0588312519,0.0807215349,0.002693711,0.0027128646,1130274573,3069.1344997883
4,0.25,25,1000,20,1,0,0,6.9157159213,8.0369068537,8.9825121988,0.0328811445,0.0755704831,0.0861727847,0.1010020827,0.0027074989,0.002698429,120211005,144.1117677689
12,0.01,25,1000,20,40,0.1,0.0668875315,3.9470081399,4.2031200778,5.8061513294,0.0040763401,0.0402244616,0.044958311,0.0654510297,0.0079810599,0.0082348961,27984877187,26292.1416003704
8,0.1,10,250,300,40,0.25,0.2922362437,3.7231515547,4.5900126563,6.1544069878,0.0112894689,0.0398351635,0.0480465905,0.0701950493,0.0018345447,0.0018490479,820285560,3702.8283929825
8,0.25,10,750,100,20,0.25,0.0057363799,10.1760162416,9.9282505828,10.6160973775,0.0465171591,0.1039087247,0.1121983228,0.1214141408,0.0018139894,0.0018068001,707841000,1623.5585427284
8,0.01,15,750,20,20,0.25,1.1082710992,3.3694107293,3.7478287692,5.6884142124,0.0137143362,0.0353156983,0.0417511547,0.0641958686,0.0035092885,0.0035315255,1242695738,2242.0176458359
8,0.1,10,100,20,20,0,0.2529010608,4.4322960301,4.8275273631,7.0335076756,0.0143362342,0.0463137352,0.0528706501,0.0834002398,0.0020777216,0.0020747953,789863666,1324.4277598858
4,0.01,25,250,300,40,0.25,2.7877050483,3.3873068442,3.835714695,5.7281949334,0.031980869,0.0359422404,0.0418142682,0.0639821519,0.0026577073,0.0029088433,132166493,3897.1122841835
12,0.1,20,1000,300,1,0.1,0,8.1436887253,8.816353665,10.1610313003,0.034957392,0.0865475351,0.0952521668,0.1157629247,0.0063769976,0.0064680625,19756556546,25258.2320313454
4,0.25,15,250,300,40,0.1,0.7289798795,3.1392671099,3.4841394782,5.2972433009,0.0097691238,0.0329459312,0.0371297968,0.0590660287,0.0013374595,0.0014524745,79070627,2314.4003639221
4,0.1,20,250,300,1,0.1,0,5.5596536497,6.3216634989,8.1741725715,0.0233810833,0.056040727,0.0673204067,0.0905572642,0.0023787155,0.0024228879,100232323,178.1165161133
4,0.01,15,100,20,20,0.1,3.4652582443,4.0513374217,4.41763521,5.8727062558,0.0397122945,0.0421842697,0.0474974109,0.0666499294,0.0013221456,0.0013777582,79324456,705.013821125
8,0.25,25,500,300,20,0,0,6.3817306672,6.6163789025,8.134489254,0.0280809226,0.0646711371,0.0707289605,0.0924249469,0.0048290574,0.0047995804,1617456830,5590.2926170826
4,0.01,10,100,100,1,0,2.3761928021,4.6363709822,5.1481835513,7.7623523436,0.0326113431,0.0476985258,0.05414425,0.0858087043,0.0008770548,0.0008565275,52757131,79.7569811344
4,0.1,15,500,100,1,0.25,0.000020819,5.2984642225,5.9402016105,8.356187971,0.0224995188,0.0545498155,0.0628170798,0.0929185328,0.0013927542,0.0014994581,76326040,104.4473435879
8,0.01,20,250,300,1,0.1,0,6.4943763062,7.2393316821,9.3231118153,0.0265092558,0.0663267756,0.078017526,0.1038826204,0.003709428,0.003708345,1472770975,1855.19287467
8,0.1,10,100,20,40,0.1,0.4659050401,3.7501136372,4.3803428734,6.0353811885,0.0112969189,0.0397410626,0.0451759932,0.0672490962,0.0020973674,0.0020865139,821219377,2179.495169878
8,0.1,15,250,300,1,0,0,7.4265863022,7.9613001096,9.9833375082,0.0294069305,0.0792156153,0.0857967759,0.1103361359,0.0027844772,0.0031153571,977018189,1314.0639545918
12,0.25,15,250,100,1,0.1,0,9.2624852283,10.0055034386,11.0614579761,0.0421858747,0.0953417888,0.1078999991,0.1231163552,0.0045741338,0.0046753902,13838912414,13929.7604196072
4,0.01,25,1000,300,40,0.25,2.735937488,3.3011613672,3.7164140431,5.7077675548,0.0313990991,0.0349342207,0.0396602966,0.0639848271,0.0028097725,0.0029028266,132701304,4408.7673485279
12,0.25,15,250,100,40,0.25,0,16.1986827011,16.4644073112,15.235556775,0.1068618493,0.1782175637,0.1800724375,0.1728434164,0.0050371644,0.0049811736,14397922296,17683.5883438587
4,0.01,20,750,100,40,0.1,2.7145573463,3.2842131082,3.626179621,5.3937540502,0.0311564035,0.0345530102,0.0387588549,0.0608511221,0.0019279293,0.0019258183,106112576,2536.082741499
12,0.1,15,500,300,20,0,0,7.1046367676,7.25901227,9.2046081514,0.0312928876,0.0753249196,0.0754850066,0.1046095698,0.0045526153,0.0049159658,14366419401,21624.0372266769
8,0.25,10,500,100,40,0,0.0818487782,4.399546488,4.839300204,6.6369466324,0.0160912005,0.0479356058,0.0545936637,0.0733734411,0.0018147597,0.0020123134,750415866,2631.04322052
4,0.01,20,100,100,40,0,2.5159463031,3.2547280722,3.6187850524,5.5136134522,0.0290942384,0.0352161299,0.038919896,0.06201153,0.0018692496,0.001958932,105721650,2187.7695105076
12,0.1,25,1000,20,1,0.25,0,9.1478339805,9.9683992122,10.6372499236,0.0392641452,0.097665088,0.1075448763,0.1196088624,0.0076636455,0.0076520996,24507154326,19364.0079143047
12,0.1,25,100,20,20,0.25,0,13.3631134239,14.4118086799,12.2188225945,0.0764421192,0.1385274239,0.1517946618,0.1368211504,0.0079932838,0.0080233688,24571165969,22089.1640925407
4,0.01,10,250,20,1,0.1,2.5954494,4.525033255,4.9699988211,7.4903157437,0.0340015177,0.0469813644,0.0537991842,0.0831931381,0.0008868304,0.0008655369,52702077,69.5236606598
8,0.1,15,500,20,40,0,0.1723474755,3.5301063137,3.7467314951,5.6783804387,0.0068989551,0.0357883749,0.0408634612,0.0639178257,0.0029862798,0.0030787813,1194963075,3385.0822877884
4,0.01,10,100,20,20,0.1,4.1501526621,4.6334724126,4.9937713686,6.2268047828,0.0478505007,0.0484276328,0.053824736,0.0705823025,0.0007662427,0.0008351242,52894676,475.7399151325
12,0.1,25,500,300,40,0.25,0,11.1094476378,12.2210960886,12.1792355582,0.062041287,0.1171937692,0.1351175995,0.1368352759,0.0075573442,0.0078616795,24196707345,41618.3544445038
4,0.1,15,100,100,1,0.25,0.000275852,5.9141756969,6.6882344986,8.3540469642,0.0257602739,0.0545907441,0.0702923217,0.0937643022,0.0013514665,0.0013977318,76697249,107.6319322586
8,0.01,15,1000,20,1,0.1,0,6.4529008815,7.2310348571,9.1212906798,0.0265030063,0.0665745116,0.0772281063,0.1016043536,0.0031741687,0.003368079,1128846557,859.966823101
12,0.1,25,500,100,1,0,0,8.2884871916,9.2885508897,10.2505346109,0.0358405326,0.0881867555,0.0982022997,0.1150274445,0.0079155498,0.0082028646,24570960157,23260.1985926628
4,0.1,10,500,300,40,0.25,1.5270177596,3.0433433972,3.4444717757,5.474844338,0.0179878886,0.0323262829,0.0366002579,0.0611947653,0.0008917105,0.0008850733,52906344,1650.0959579945
8,0.1,25,750,300,1,0.1,0,6.9708354319,7.8535994852,9.6076378435,0.029100699,0.0743077091,0.0861728172,0.1070436458,0.0048753169,0.0048927891,1618052570,2159.1092174053
12,0.01,10,100,300,20,0.1,0.1212449878,5.5758248359,6.6162323243,6.7841241638,0.0193076214,0.0565835352,0.0719344024,0.0774818662,0.0031413711,0.0032233508,11600951269,15645.1908886433
12,0.01,25,500,20,1,0.1,0,8.6610915833,9.4394646446,10.4045274827,0.0369788672,0.0901130576,0.1013941787,0.1161899727,0.0074906141,0.0077450868,24948948490,19340.4154946804
4,0.1,25,1000,300,20,0.1,0.5446452475,2.8475604138,3.0680635877,5.051211586,0.0075973142,0.0295671579,0.0332411779,0.0562026981,0.002541337,0.0024771197,132246753,2210.8123495579
8,0.1,10,250,300,1,0,0,7.2100987711,7.8564842325,10.0067680745,0.0296195149,0.0730559616,0.0868227729,0.1112583952,0.0018378767,0.0018945702,653416561,884.2527873516
8,0.01,10,250,300,1,0.25,0.000020819,6.5179304144,7.2301901587,9.3617258546,0.0265998235,0.0669761593,0.0779089729,0.1047293268,0.0021049147,0.0020638502,775258443,966.1714799404
12,0.1,15,250,300,40,0,0,7.0213736581,7.0958942616,8.8253060884,0.0289818588,0.0746203566,0.074651499,0.0997889739,0.004519716,0.00465524,14700380225,25006.6790382862
8,0.1,15,100,100,40,0.25,0.2413700995,3.8778458669,4.8789909187,6.7674899411,0.0126998305,0.0413149544,0.0528004962,0.0761600912,0.0028226626,0.0028573565,1199438902,3793.7432413101
12,0.01,25,250,20,20,0.1,0.0155922468,4.7167747447,5.0745284736,6.4007828965,0.0119884388,0.0493584114,0.053337783,0.0721029225,0.0078568208,0.0077098377,26334225736,22387.9605870247
4,0.25,25,100,300,20,0,0.5368188565,3.5266537673,3.8463047545,5.8643603454,0.0106662786,0.0353836149,0.0421389515,0.0663446079,0.00246012,0.0027290947,130179566,1926.5723967552
12,0.1,20,500,20,20,0.1,0,9.3062428783,9.252103357,9.3978494978,0.0485833318,0.0957884315,0.0976062135,0.1033872975,0.0060883023,0.00611394,19591935399,17716.6589868069
4,0.01,20,750,100,20,0.1,2.6990272997,3.2914010815,3.6156713969,5.4484539851,0.0310210921,0.034775054,0.0390740435,0.0614618353,0.0021211655,0.0019653962,105997925,1229.6361563206
12,0.25,15,1000,20,1,0.1,0,9.9373231605,10.2909211374,11.0451573115,0.0472133044,0.1063216299,0.1119254383,0.1230693595,0.0047484257,0.0047959456,13891577504,11484.0714669228
4,0.01,25,500,20,1,0.25,1.4348326608,4.1160273936,4.6309011451,7.3379927245,0.0231372502,0.0427565216,0.0501708669,0.0819710539,0.0025103513,0.002429306,131710048,158.0633325577
12,0.25,15,500,100,1,0,0,8.826435379,9.4770008987,10.9899662963,0.0408948998,0.0949094694,0.1020701433,0.1231179546,0.004915608,0.0048632298,13856772294,13762.4213867188
